nm_municipio,votos_deputado,valor_emenda,market_share,idh,populacao,votos_per_capita,emenda_per_capita,categoria_idh
AREALVA,3,0.0,6.652769769814166e-05,0.744,7887.0,0.0003803727653100038,0.0,Alto
ENGENHEIRO COELHO,4,0.0,8.870359693085554e-05,0.732,16158.0,0.00024755539051862855,0.0,Alto
AREIAS,0,0.0,0.0,0.697,3704.0,0.0,0.0,Médio
RIBEIRAO GRANDE,1,0.0,2.2175899232713886e-05,0.705,7425.0,0.00013468013468013467,0.0,Alto
AREIOPOLIS,9,0.0,0.00019958309309442497,0.695,10601.0,0.0008489765116498443,0.0,Médio
HORTOLANDIA,106,0.0,0.002350645318667672,0.756,195776.0,0.0005414351095129127,0.0,Alto
ARIRANHA,3,0.0,6.652769769814166e-05,0.733,8630.0,0.0003476245654692932,0.0,Alto
HOLAMBRA,8,0.0,0.00017740719386171109,0.793,11613.0,0.0006888831481959872,0.0,Alto
ARTUR NOGUEIRA,44,3900175.0,0.000975739566239411,0.749,45026.0,0.0009772131657264692,86.62050815084618,Alto
ELISIARIO,0,0.0,0.0,0.747,3162.0,0.0,0.0,Alto
ARUJA,57,0.0,0.0012640262562646915,0.784,76112.0,0.0007488963632541518,0.0,Alto
BOM SUCESSO DE ITARARE,0,0.0,0.0,0.66,3598.0,0.0,0.0,Médio
ASSIS,57,0.0,0.0012640262562646915,0.805,95750.0,0.0005953002610966057,0.0,Muito Alto
PONTALINDA,0,0.0,0.0,0.702,4116.0,0.0,0.0,Alto
ATIBAIA,89,0.0,0.001973655031711536,0.765,127778.0,0.0006965205277903864,0.0,Alto
PARISI,0,0.0,0.0,0.721,2039.0,0.0,0.0,Alto
AURIFLAMA,6,0.0,0.00013305539539628332,0.773,14255.0,0.0004209049456331112,0.0,Alto
TAQUARIVAI,3,0.0,6.652769769814166e-05,0.679,5204.0,0.0005764796310530361,0.0,Médio
AVAI,1,0.0,2.2175899232713886e-05,0.714,4987.0,0.00020052135552436334,0.0,Alto
MARAPOAMA,3,0.0,6.652769769814166e-05,0.752,2664.0,0.0011261261261261261,0.0,Alto
AVANHANDAVA,4,0.0,8.870359693085554e-05,0.705,11501.0,0.00034779584383966614,0.0,Alto
SAO JOAO DE IRACEMA,2,0.0,4.435179846542777e-05,0.748,1789.0,0.0011179429849077697,0.0,Alto
AVARE,51,0.0,0.0011309708608684083,0.767,83430.0,0.0006112909025530385,0.0,Alto
SAO LOURENCO DA SERRA,5,0.0,0.00011087949616356944,0.728,14110.0,0.00035435861091424523,0.0,Alto
BADY BASSITT,8,0.0,0.00017740719386171109,0.746,14838.0,0.0005391562205148942,0.0,Alto
ZACARIAS,1,0.0,2.2175899232713886e-05,0.729,2365.0,0.00042283298097251583,0.0,Alto
BALBINOS,1,0.0,2.2175899232713886e-05,0.669,3886.0,0.0002573340195573855,0.0,Médio
ITAPIRAPUA PAULISTA,0,0.0,0.0,0.661,3904.0,0.0,0.0,Médio
BALSAMO,1,0.0,2.2175899232713886e-05,0.756,8223.0,0.00012161011796181443,0.0,Alto
MESOPOLIS,0,0.0,0.0,0.724,1883.0,0.0,0.0,Alto
BANANAL,12,0.0,0.00026611079079256664,0.733,10263.0,0.001169248757673195,0.0,Alto
NOVA CAMPINA,4,0.0,8.870359693085554e-05,0.651,8609.0,0.00046463003833197816,0.0,Médio
BARBOSA,0,0.0,0.0,0.699,6652.0,0.0,0.0,Médio
ILHA COMPRIDA,8,0.0,0.00017740719386171109,0.725,9204.0,0.000869187309865276,0.0,Alto
BARAO DE ANTONINA,0,0.0,0.0,0.711,3141.0,0.0,0.0,Alto
LOURDES,1,0.0,2.2175899232713886e-05,0.742,2138.0,0.0004677268475210477,0.0,Alto
BARIRI,21,0.0,0.00046569388388699164,0.75,31852.0,0.0006592992590732136,0.0,Alto
TORRE DE PEDRA,0,0.0,0.0,0.714,2263.0,0.0,0.0,Alto
BARRA BONITA,138,0.0,0.0030602740941145165,0.788,35228.0,0.003917338480753946,0.0,Alto
ARCO-IRIS,3,0.0,6.652769769814166e-05,0.722,1907.0,0.0015731515469323545,0.0,Alto
BARRA DO TURVO,0,0.0,0.0,0.641,7700.0,0.0,0.0,Médio
